Scenario,Season,Model,Correct,% Correct,Home Recall %,Draw Recall %,Away Recall %,Macro-F1,Balanced Acc,Log Loss (soft)
Ligue 1,2022/23,Stacked (CatMeta),96,58.9,84.2,0.0,65.3,0.435,0.4984,0.9813
Ligue 1,2022/23,Stacked (RFMeta),96,58.9,82.9,0.0,67.3,0.4347,0.5008,0.9726
Ligue 1,2022/23,Hybrid (XGBoost-Elo),96,58.9,82.9,0.0,67.3,0.4338,0.5008,0.9857
Ligue 1,2022/23,Stacked (XGBMeta),94,57.67,81.6,5.3,61.2,0.4532,0.4936,0.9788
Ligue 1,2022/23,Hybrid (Random Forest-Elo),94,57.67,78.9,2.6,67.3,0.4422,0.4964,0.9872
Ligue 1,2022/23,CatBoost,94,57.67,76.3,18.4,59.2,0.5021,0.5131,0.9792
Ligue 1,2022/23,Linear SVM,93,57.06,85.5,0.0,57.1,0.4146,0.4756,0.9845
Ligue 1,2022/23,Hybrid (CatBoost-Elo),93,57.06,76.3,18.4,57.1,0.496,0.5063,0.9767
Ligue 1,2022/23,Hybrid (LightGBM-Elo),93,57.06,75.0,7.9,67.3,0.4628,0.5008,0.9955
Ligue 1,2022/23,Hybrid (Linear SVM-Elo),92,56.44,86.8,0.0,53.1,0.4065,0.4663,0.9795
Ligue 1,2022/23,Stacked (MLPMeta),92,56.44,78.9,2.6,63.3,0.4325,0.4828,0.9994
Ligue 1,2022/23,Random Forest,92,56.44,76.3,2.6,67.3,0.4338,0.4876,0.9955
Ligue 1,2022/23,XGBoost,91,55.83,69.7,15.8,65.3,0.4843,0.5028,1.001
Ligue 1,2022/23,Hybrid (MLP-Elo),86,52.76,69.7,7.9,61.2,0.4346,0.4629,1.0043
Ligue 1,2022/23,Hybrid (Logistic Regression-Elo),86,52.76,63.2,2.6,75.5,0.4199,0.471,1.0076
Ligue 1,2022/23,MLP,86,52.76,68.4,7.9,63.3,0.4356,0.4653,1.0124
Ligue 1,2022/23,HistGBM,84,51.53,56.6,31.6,59.2,0.4858,0.4911,1.0646
Ligue 1,2022/23,Hybrid (HistGBM-Elo),84,51.53,56.6,31.6,59.2,0.4858,0.4911,1.0646
Ligue 1,2022/23,LightGBM,82,50.31,57.9,13.2,67.3,0.4391,0.4613,1.0229
Ligue 1,2022/23,Logistic Regression,77,47.24,50.0,5.3,75.5,0.3943,0.4359,1.0349
Ligue 1,2022/23,DrawThresh(0.32)+Logistic Regression,71,43.56,34.2,36.8,63.3,0.4264,0.4477,1.0349
Ligue 1,2023/24,LightGBM,52,52.53,72.2,9.7,71.9,0.4633,0.5126,1.0202
Ligue 1,2023/24,Hybrid (LightGBM-Elo),52,52.53,77.8,3.2,71.9,0.4315,0.5096,1.0066
Ligue 1,2023/24,Stacked (CatMeta),52,52.53,80.6,3.2,68.8,0.4292,0.5084,0.9984
Ligue 1,2023/24,Logistic Regression,51,51.52,55.6,16.1,81.2,0.4724,0.5098,1.0394
Ligue 1,2023/24,Stacked (RFMeta),51,51.52,80.6,0.0,68.8,0.4057,0.4977,1.0174
Ligue 1,2023/24,Stacked (XGBMeta),51,51.52,83.3,0.0,65.6,0.4072,0.4965,1.062
Ligue 1,2023/24,Stacked (MLPMeta),51,51.52,80.6,0.0,68.8,0.4083,0.4977,1.0182
Ligue 1,2023/24,Hybrid (HistGBM-Elo),51,51.52,61.1,22.6,68.8,0.4908,0.5081,1.063
Ligue 1,2023/24,HistGBM,51,51.52,61.1,22.6,68.8,0.4908,0.5081,1.0851
Ligue 1,2023/24,Hybrid (Random Forest-Elo),50,50.51,77.8,3.2,65.6,0.416,0.4888,0.9997
Ligue 1,2023/24,Linear SVM,50,50.51,83.3,0.0,62.5,0.3954,0.4861,1.0292
Ligue 1,2023/24,Random Forest,50,50.51,77.8,6.5,62.5,0.4326,0.4891,1.009
Ligue 1,2023/24,DrawThresh(0.39)+Logistic Regression,50,50.51,58.3,9.7,81.2,0.4445,0.4975,1.0394
Ligue 1,2023/24,Hybrid (MLP-Elo),49,49.49,75.0,3.2,65.6,0.4141,0.4795,1.0023
Ligue 1,2023/24,Hybrid (CatBoost-Elo),48,48.48,63.9,22.6,56.2,0.4613,0.4757,0.9967
Ligue 1,2023/24,CatBoost,48,48.48,63.9,22.6,56.2,0.4621,0.4757,0.9981
Ligue 1,2023/24,Hybrid (Linear SVM-Elo),48,48.48,86.1,0.0,53.1,0.3754,0.4641,1.0181
Ligue 1,2023/24,Hybrid (Logistic Regression-Elo),46,46.46,61.1,0.0,75.0,0.3774,0.4537,1.022
Ligue 1,2023/24,MLP,46,46.46,63.9,16.1,56.2,0.4327,0.4542,1.0754
Ligue 1,2023/24,Hybrid (XGBoost-Elo),46,46.46,61.1,6.5,68.8,0.4062,0.4544,1.0116
Ligue 1,2023/24,XGBoost,45,45.45,58.3,6.5,68.8,0.3992,0.4451,1.0141
Ligue 1,2024/25,Stacked (MLPMeta),187,55.82,75.3,0.0,63.4,0.41,0.4624,0.9768
Ligue 1,2024/25,Hybrid (XGBoost-Elo),187,55.82,70.8,5.8,66.1,0.4426,0.4755,1.002
Ligue 1,2024/25,Stacked (CatMeta),186,55.52,72.7,0.0,66.1,0.4093,0.4627,0.9712
Ligue 1,2024/25,XGBoost,186,55.52,70.1,5.8,66.1,0.4408,0.4733,1.0027
Ligue 1,2024/25,Stacked (RFMeta),185,55.22,76.0,0.0,60.7,0.4041,0.4556,0.9723
Ligue 1,2024/25,Hybrid (Linear SVM-Elo),184,54.93,79.9,0.0,54.5,0.3982,0.4478,0.9706
Ligue 1,2024/25,Hybrid (Random Forest-Elo),183,54.63,74.7,2.9,58.9,0.4173,0.455,0.9824
Ligue 1,2024/25,Hybrid (Logistic Regression-Elo),183,54.63,64.3,1.4,74.1,0.4149,0.4661,0.9873
Ligue 1,2024/25,Linear SVM,183,54.63,79.9,0.0,53.6,0.3955,0.4448,0.9735
Ligue 1,2024/25,Stacked (XGBMeta),182,54.33,74.7,4.3,57.1,0.4209,0.4539,0.9831
Ligue 1,2024/25,Random Forest,181,54.03,74.0,2.9,58.0,0.4136,0.4499,0.9867
Ligue 1,2024/25,CatBoost,180,53.73,72.7,8.7,55.4,0.4368,0.4559,1.0008
Ligue 1,2024/25,Hybrid (CatBoost-Elo),179,53.43,72.7,7.2,55.4,0.4289,0.4511,0.9997
Ligue 1,2024/25,Hybrid (LightGBM-Elo),176,52.54,63.6,4.3,67.0,0.4182,0.4498,1.008
Ligue 1,2024/25,LightGBM,176,52.54,62.3,7.2,67.0,0.4304,0.4552,1.0122
Ligue 1,2024/25,DrawThresh(0.36)+Logistic Regression,176,52.54,57.1,4.3,75.9,0.4192,0.4579,1.0053
Ligue 1,2024/25,Logistic Regression,175,52.24,57.1,2.9,75.9,0.4111,0.4531,1.0053
Ligue 1,2024/25,Hybrid (MLP-Elo),168,50.15,55.8,23.2,58.9,0.456,0.4599,1.0845
Ligue 1,2024/25,MLP,165,49.25,54.5,23.2,58.0,0.4488,0.4526,1.1142
Ligue 1,2024/25,HistGBM,164,48.96,61.0,13.0,54.5,0.4212,0.4285,1.103
Ligue 1,2024/25,Hybrid (HistGBM-Elo),164,48.96,61.0,13.0,54.5,0.4212,0.4285,1.0904
