date,home,away,home_elo_pre,away_elo_pre,elo_diff_pre,home_adv_used,target,home_goals,away_goals,target_label
2004-09-26,Sevilla,Sociedad,1513.820142680362,1469.464043743017,44.356098937344996,90.0,H,2,1,HomeWin
2004-09-26,Valencia,Santander,1542.1105322381632,1486.1742895172667,55.936242720896416,90.0,H,2,0,HomeWin
2004-09-26,Zaragoza,Levante,1511.6157583303363,1515.5542841775705,-3.938525847234132,90.0,H,4,3,HomeWin
2004-10-02,Betis,Valencia,1483.5613005994971,1558.576488694874,-75.01518809537674,90.0,D,1,1,Draw
2004-10-02,Sociedad,Ath Madrid,1452.504697332041,1529.9021477084273,-77.39745037638636,90.0,H,1,0,HomeWin
2004-10-03,Albacete,Espanol,1456.7592794397278,1531.2246337945573,-74.46535435482951,90.0,H,1,0,HomeWin
2004-10-03,Levante,Mallorca,1496.5946528093364,1474.0304381333171,22.56421467601922,90.0,H,2,0,HomeWin
2004-10-03,Malaga,Osasuna,1498.2222198474237,1529.8132375632147,-31.59101771579094,90.0,H,2,0,HomeWin
2004-10-03,Barcelona,Numancia,1554.207178304524,1487.2524038811362,66.95477442338779,90.0,H,1,0,HomeWin
2004-10-03,Santander,Sevilla,1469.708333060556,1530.7794890913383,-61.07115603078228,90.0,D,0,0,Draw
2004-10-03,Getafe,Ath Bilbao,1456.7869700642173,1490.5339566146436,-33.7469865504263,90.0,H,3,1,HomeWin
2004-10-03,Villarreal,Zaragoza,1468.9907770682407,1530.5753896985705,-61.58461263032973,90.0,H,2,0,HomeWin
2004-10-03,Real Madrid,La Coruna,1508.8515845830243,1491.124821711333,17.726762871691335,90.0,A,0,1,AwayWin
2004-10-16,Betis,Real Madrid,1490.1941754126635,1496.9276297048589,-6.733454292195347,90.0,D,1,1,Draw
2004-10-16,Espanol,Barcelona,1509.610868950799,1570.2006641176172,-60.58979516681825,90.0,A,0,1,AwayWin
2004-10-16,La Coruna,Getafe,1503.0487765894984,1476.9145428664704,26.134233723028046,90.0,H,2,1,HomeWin
2004-10-17,Numancia,Levante,1471.258918068043,1514.4700713449085,-43.211153276865616,90.0,A,1,3,AwayWin
2004-10-17,Ath Madrid,Santander,1508.186784480555,1475.8484283575751,32.3383561229798,90.0,H,1,0,HomeWin
2004-10-17,Ath Bilbao,Malaga,1470.4063838123905,1518.2674150942264,-47.86103128183595,90.0,H,1,0,HomeWin
2004-10-17,Zaragoza,Sociedad,1509.4168522657765,1474.2200605599132,35.196791705863234,90.0,H,2,1,HomeWin
2004-10-17,Osasuna,Albacete,1509.768042316412,1478.3730442834863,31.39499803292574,90.0,H,3,2,HomeWin
2004-10-17,Valencia,Sevilla,1551.9436138817075,1524.6393937943192,27.30422008738833,90.0,A,1,2,AwayWin
2004-10-17,Mallorca,Villarreal,1456.155019597745,1490.1493145010347,-33.994294903289756,90.0,D,1,1,Draw
2004-10-23,Real Madrid,Valencia,1492.855980291586,1539.6214053069634,-46.76542501537733,90.0,H,1,0,HomeWin
2004-10-23,Malaga,La Coruna,1497.6093533556539,1520.7754410329744,-23.166087677320547,90.0,D,1,1,Draw
2004-10-24,Barcelona,Osasuna,1579.0778784314346,1527.2744969564558,51.80338147497878,90.0,H,3,0,HomeWin
2004-10-24,Villarreal,Numancia,1485.0123144962208,1461.7439286528147,23.268385843406122,90.0,H,4,0,HomeWin
2004-10-24,Sociedad,Mallorca,1456.8734455015065,1461.2920196025589,-4.4185741010524,90.0,H,2,1,HomeWin
2004-10-24,Sevilla,Ath Madrid,1536.9616023690633,1525.6536303886464,11.307971980416823,90.0,H,2,1,HomeWin
2004-10-24,Santander,Zaragoza,1458.3815824494836,1526.7634673241832,-68.38188487469961,90.0,H,1,0,HomeWin
2004-10-24,Levante,Espanol,1523.9850607601368,1500.7336546369816,23.25140612315522,90.0,A,0,2,AwayWin
2004-10-24,Getafe,Betis,1459.1878784229943,1494.2658248259363,-35.07794640294196,90.0,A,0,2,AwayWin
2004-10-24,Albacete,Ath Bilbao,1460.8665896434425,1491.064445550963,-30.197855907520534,90.0,H,1,0,HomeWin
2004-10-30,Ath Bilbao,Barcelona,1471.072665255355,1595.7203470972165,-124.64768184186141,90.0,D,1,1,Draw
2004-10-30,Valencia,Ath Madrid,1519.0039627308508,1507.313149664824,11.690813066026749,90.0,D,1,1,Draw
2004-10-31,Osasuna,Levante,1510.6320282906738,1511.8318902741912,-1.199861983517394,90.0,A,0,1,AwayWin
2004-10-31,Mallorca,Santander,1442.3131141323697,1479.7821388469329,-37.46902471456315,90.0,A,1,2,AwayWin
2004-10-31,Zaragoza,Sevilla,1505.362910926734,1555.3020830928856,-49.93917216615159,90.0,H,3,0,HomeWin
2004-10-31,La Coruna,Albacete,1516.0554188880285,1480.8583699390504,35.197048948978136,90.0,D,0,0,Draw
2004-10-31,Real Madrid,Getafe,1513.4734228676987,1449.3661321205586,64.10729074714004,90.0,H,2,0,HomeWin
2004-10-31,Numancia,Sociedad,1443.8978058136609,1475.8523509716956,-31.95454515803476,90.0,A,0,2,AwayWin
2004-10-31,Espanol,Villarreal,1512.8868251229271,1502.8584373353747,10.028387787552447,90.0,D,0,0,Draw
2004-10-31,Betis,Malaga,1504.087571128372,1502.3293755005998,1.7581956277722384,90.0,D,1,1,Draw
2004-11-06,Albacete,Betis,1478.511765714915,1507.8174196371695,-29.30565392225435,90.0,D,0,0,Draw
2004-11-06,Barcelona,La Coruna,1587.47637145952,1518.4020231121638,69.07434834735614,90.0,H,2,1,HomeWin
2004-11-07,Ath Madrid,Zaragoza,1503.9883816385654,1526.0977533667015,-22.10937172813601,90.0,D,1,1,Draw
2004-11-07,Getafe,Valencia,1433.250318981676,1522.3287307571095,-89.07841177543355,90.0,H,1,0,HomeWin
2004-11-07,Levante,Ath Bilbao,1522.9824844473499,1479.3166408930517,43.665843554298135,90.0,H,1,0,HomeWin
2004-11-28,Real Madrid,Levante,1529.5892360065814,1539.9711154689421,-10.381879462360757,90.0,H,5,0,HomeWin
2004-11-28,Osasuna,Sevilla,1499.4814341175152,1534.5672406529181,-35.08580653540298,90.0,H,4,1,HomeWin
2004-11-28,Valencia,Mallorca,1500.2162634771453,1432.5820794901738,67.6341839869715,90.0,H,2,0,HomeWin
2004-12-04,Albacete,Valencia,1483.469263211574,1516.1805417494359,-32.71127853786197,90.0,A,0,1,AwayWin
2004-12-04,Barcelona,Malaga,1603.3787136404528,1498.5995269918023,104.77918664865047,90.0,H,4,0,HomeWin
2004-12-04,Sociedad,Betis,1485.793241413759,1502.8599221405107,-17.066680726751656,90.0,H,1,0,HomeWin
2004-12-05,Zaragoza,Espanol,1521.4188752476425,1516.2797668571072,5.139108390535284,90.0,A,0,1,AwayWin
2004-12-05,Villarreal,Real Madrid,1499.4654956011946,1548.8063745934928,-49.34087899229826,90.0,D,0,0,Draw
2004-12-05,Ath Madrid,Osasuna,1508.6672597576244,1519.6599867200973,-10.992726962472943,90.0,H,3,2,HomeWin
2004-12-05,Santander,La Coruna,1489.5131734891288,1502.4996809312308,-12.986507442102038,90.0,D,2,2,Draw
2004-12-05,Mallorca,Numancia,1416.6178012178832,1433.9569153715975,-17.339114153714263,90.0,H,3,2,HomeWin
2004-12-05,Levante,Getafe,1520.7539768820307,1455.3627862616402,65.39119062039049,90.0,D,0,0,Draw
2004-12-05,Sevilla,Ath Bilbao,1514.388688050336,1462.3280098714595,52.060678178876515,90.0,H,2,0,HomeWin
2004-12-11,Albacete,Barcelona,1473.5573058496275,1617.7410294398044,-144.1837235901769,90.0,A,1,2,AwayWin
2004-12-11,Ath Bilbao,Ath Madrid,1445.6965172980617,1527.9086742213951,-82.2121569233334,90.0,H,1,0,HomeWin
2004-12-12,Espanol,Mallorca,1527.6871868255496,1436.109981168304,91.57720565724549,90.0,H,2,1,HomeWin
2004-12-12,Getafe,Villarreal,1454.302111717498,1505.1782687883206,-50.8761570708225,90.0,A,1,2,AwayWin
2004-12-12,Malaga,Levante,1484.2372111924508,1521.8146514261728,-37.57744023372197,90.0,H,1,0,HomeWin
2004-12-12,La Coruna,Sevilla,1498.1791995037827,1531.0201806237337,-32.84098111995104,90.0,D,2,2,Draw
2004-12-12,Valencia,Numancia,1526.0924991113823,1414.4647354211766,111.62776369020571,90.0,H,1,0,HomeWin
2004-12-12,Osasuna,Zaragoza,1500.4185722563266,1510.0114552792002,-9.592883022873593,90.0,D,2,2,Draw
2004-12-12,Betis,Santander,1483.3784517045824,1493.833654916577,-10.455203211994558,90.0,H,2,1,HomeWin
2004-12-18,Barcelona,Valencia,1623.9266125108686,1540.1599577235465,83.76665478732207,90.0,D,1,1,Draw
2004-12-18,Levante,Albacete,1501.5415833766865,1467.3717227785633,34.16986059812325,90.0,D,1,1,Draw
2004-12-18,Santander,Real Madrid,1474.6136010778105,1543.0936014063668,-68.48000032855634,90.0,A,2,3,AwayWin
2004-12-19,Zaragoza,Ath Bilbao,1505.8257079595699,1467.577050520915,38.248657438654845,90.0,A,0,2,AwayWin
2004-12-19,Villarreal,Malaga,1514.408922147268,1504.510279241937,9.898642905330917,90.0,H,3,0,HomeWin
2004-12-19,Ath Madrid,La Coruna,1506.0281409985419,1503.272196930101,2.75594406844084,90.0,H,1,0,HomeWin
2004-12-19,Sevilla,Betis,1525.9271831974154,1502.598505543349,23.328677654066496,90.0,H,2,1,HomeWin
2004-12-19,Numancia,Espanol,1400.3972768090123,1542.6190938513885,-142.2218170423762,90.0,D,0,0,Draw
2004-12-19,Mallorca,Osasuna,1421.1780741424652,1504.6043195759569,-83.42624543349166,90.0,A,1,2,AwayWin
