Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,HTHG,HTAG,HTR,PSH,PSD,PSA
SP1,2004-10-03,Getafe,Ath Bilbao,3,1,H,2.4,3.2,2.6,,,,,,,1,0,H,,,
SP1,2004-10-03,Levante,Mallorca,2,0,H,2.0,3.25,3.25,,,,,,,2,0,H,,,
SP1,2004-10-03,Barcelona,Numancia,1,0,H,1.2,5.0,12.0,,,,,,,0,0,D,,,
SP1,2004-10-03,Albacete,Espanol,1,0,H,2.4,3.2,2.6,,,,,,,0,0,D,,,
SP1,2004-10-03,Malaga,Osasuna,2,0,H,1.9,3.25,3.5,,,,,,,1,0,H,,,
SP1,2004-10-16,Betis,Real Madrid,1,1,D,3.5,3.2,2.1,,,,,,,1,0,H,,,
SP1,2004-10-16,Espanol,Barcelona,0,1,A,4.5,3.25,1.83,,,,,,,0,1,A,,,
SP1,2004-10-16,La Coruna,Getafe,2,1,H,1.4,3.75,7.5,,,,,,,1,0,H,,,
SP1,2004-10-17,Zaragoza,Sociedad,2,1,H,1.83,3.25,3.75,,,,,,,1,1,D,,,
SP1,2004-10-17,Osasuna,Albacete,3,2,H,1.72,3.25,4.33,,,,,,,2,1,H,,,
SP1,2004-10-17,Valencia,Sevilla,1,2,A,1.53,3.5,7.0,,,,,,,0,0,D,,,
SP1,2004-10-17,Mallorca,Villarreal,1,1,D,2.37,3.2,2.62,,,,,,,1,1,D,,,
SP1,2004-10-17,Numancia,Levante,1,3,A,2.2,3.0,3.1,,,,,,,0,1,A,,,
SP1,2004-10-17,Ath Madrid,Santander,1,0,H,1.57,3.4,5.5,,,,,,,1,0,H,,,
SP1,2004-10-17,Ath Bilbao,Malaga,1,0,H,1.8,3.25,4.0,,,,,,,1,0,H,,,
SP1,2004-10-23,Malaga,La Coruna,1,1,D,2.4,3.2,2.6,,,,,,,1,0,H,,,
SP1,2004-10-23,Real Madrid,Valencia,1,0,H,2.0,3.25,3.5,,,,,,,1,0,H,,,
SP1,2004-10-24,Barcelona,Osasuna,3,0,H,1.33,4.5,9.0,,,,,,,2,0,H,,,
SP1,2004-10-24,Villarreal,Numancia,4,0,H,1.66,3.4,4.5,,,,,,,1,0,H,,,
