Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,HTHG,HTAG,HTR,PSH,PSD,PSA
SP1,2010-05-01,Espanol,Valencia,0,2,A,2.88,3.3,2.4,3.04,3.47,2.51,2.87,3.25,2.4,0,0,D,,,
SP1,2010-05-01,Tenerife,Santander,2,1,H,2.1,3.3,3.5,2.2,3.52,3.66,2.12,3.3,3.36,1,0,H,,,
SP1,2010-05-02,Ath Bilbao,Mallorca,1,3,A,2.0,3.4,3.75,2.12,3.49,4.01,2.02,3.31,3.63,1,1,D,,,
SP1,2010-05-02,Real Madrid,Osasuna,3,2,H,1.13,8.0,19.0,1.14,10.0,26.0,1.11,7.98,18.94,2,2,D,,,
SP1,2010-05-02,Sevilla,Ath Madrid,3,1,H,1.36,5.0,8.0,1.43,5.45,8.55,1.38,4.7,7.49,3,1,H,,,
SP1,2010-05-04,Almeria,Villarreal,4,2,H,3.2,3.25,2.25,3.25,3.64,2.37,3.04,3.33,2.26,3,0,H,,,
SP1,2010-05-04,Barcelona,Tenerife,4,1,H,1.06,11.0,29.0,1.08,18.0,48.0,1.06,11.8,28.12,1,1,D,,,
SP1,2010-05-04,Getafe,Sp Gijon,1,1,D,1.57,3.8,6.0,1.6,4.22,6.73,1.56,3.8,6.04,0,1,A,,,
SP1,2010-05-04,Valencia,Xerez,3,1,H,1.25,5.75,11.0,1.29,6.07,12.0,1.25,5.73,10.81,1,1,D,,,
SP1,2010-05-05,Zaragoza,Espanol,1,0,H,1.75,3.75,4.75,1.81,3.77,5.25,1.75,3.53,4.6,0,0,D,,,
SP1,2010-05-05,Santander,Sevilla,1,5,A,3.2,3.3,2.25,3.35,3.59,2.28,3.11,3.33,2.2,0,2,A,,,
SP1,2010-05-05,Ath Bilbao,Malaga,1,1,D,1.8,3.5,4.33,1.92,3.68,4.6,1.81,3.44,4.35,1,1,D,,,
SP1,2010-05-05,Mallorca,Real Madrid,1,4,A,5.75,4.2,1.53,6.0,4.6,1.62,5.38,4.08,1.56,1,1,D,,,
SP1,2010-05-05,Ath Madrid,Valladolid,3,1,H,2.0,3.5,3.6,2.2,3.51,3.8,2.03,3.38,3.52,1,0,H,,,
SP1,2010-05-05,Osasuna,La Coruna,3,1,H,1.73,3.6,4.75,1.75,3.85,5.51,1.71,3.59,4.71,3,1,H,,,
SP1,2010-05-08,Xerez,Zaragoza,3,2,H,3.0,3.25,2.38,3.06,3.55,2.47,2.81,3.33,2.38,1,0,H,,,
SP1,2010-05-08,Villarreal,Valencia,2,0,H,1.73,3.8,4.5,1.8,4.13,5.0,1.73,3.7,4.37,2,0,H,,,
SP1,2010-05-08,Valladolid,Santander,2,1,H,2.1,3.2,3.6,2.14,3.49,3.83,2.07,3.31,3.43,0,1,A,,,
SP1,2010-05-08,Tenerife,Almeria,2,2,D,1.67,3.75,5.0,1.73,4.21,5.35,1.66,3.77,4.71,1,1,D,,,
SP1,2010-05-08,La Coruna,Mallorca,1,0,H,3.75,3.4,2.0,3.89,3.8,2.05,3.53,3.46,1.97,0,0,D,,,
SP1,2010-05-08,Sevilla,Barcelona,2,3,A,6.0,4.33,1.5,6.5,4.82,1.54,5.94,4.26,1.49,0,2,A,,,
SP1,2010-05-08,Real Madrid,Ath Bilbao,5,1,H,1.11,9.0,19.0,1.15,11.0,24.25,1.1,8.43,19.62,1,1,D,,,
SP1,2010-05-08,Getafe,Malaga,2,1,H,1.8,3.5,4.5,1.9,3.69,4.73,1.81,3.43,4.34,1,0,H,,,
SP1,2010-05-08,Espanol,Osasuna,2,1,H,2.1,3.2,3.6,2.15,3.4,4.01,2.06,3.23,3.57,0,1,A,,,
SP1,2010-05-08,Sp Gijon,Ath Madrid,1,1,D,1.67,3.8,5.0,1.73,4.3,5.35,1.65,3.81,4.75,0,0,D,,,
SP1,2010-05-15,Almeria,Sevilla,2,3,A,6.5,4.5,1.44,7.3,4.88,1.5,6.63,4.45,1.43,1,1,D,,,
SP1,2010-05-15,Ath Bilbao,La Coruna,2,0,H,1.8,3.6,4.33,1.83,3.81,4.65,1.77,3.56,4.4,1,0,H,,,
SP1,2010-05-15,Ath Madrid,Getafe,0,3,A,4.75,4.2,1.65,5.0,4.28,1.75,4.59,3.92,1.66,0,1,A,,,
SP1,2010-05-15,Mallorca,Espanol,2,0,H,1.29,5.5,9.5,1.32,6.0,12.0,1.27,5.39,10.05,1,0,H,,,
SP1,2010-05-15,Zaragoza,Villarreal,3,3,D,4.0,3.6,1.85,4.33,3.99,1.91,4.0,3.6,1.83,3,1,H,,,
SP1,2010-05-16,Barcelona,Valladolid,4,0,H,1.04,13.0,34.0,1.06,17.11,38.0,1.04,12.09,29.29,2,0,H,,,
SP1,2010-05-16,Malaga,Real Madrid,1,1,D,10.0,5.5,1.29,11.0,6.68,1.31,9.5,5.89,1.25,1,0,H,,,
SP1,2010-05-16,Osasuna,Xerez,1,1,D,2.35,3.4,2.9,2.5,3.8,3.0,2.31,3.42,2.84,0,0,D,,,
SP1,2010-05-16,Santander,Sp Gijon,2,0,H,1.3,5.25,9.5,1.33,6.16,11.0,1.29,5.09,9.84,1,0,H,,,
SP1,2010-05-16,Valencia,Tenerife,1,0,H,2.2,3.6,3.0,2.25,3.71,3.38,2.17,3.47,3.07,0,0,D,,,
SP1,2010-08-28,Hercules,Ath Bilbao,0,1,A,2.5,3.25,2.8,2.75,3.34,2.88,2.56,3.22,2.72,0,0,D,,,
SP1,2010-08-28,Levante,Sevilla,1,4,A,3.6,3.5,2.0,3.98,3.58,2.1,3.59,3.35,2.03,1,2,A,,,
SP1,2010-08-28,Malaga,Valencia,1,3,A,2.88,3.3,2.4,3.19,3.39,2.5,2.91,3.26,2.38,1,1,D,,,
SP1,2010-08-29,Sociedad,Villarreal,1,0,H,3.0,3.25,2.38,3.31,3.38,2.45,2.96,3.24,2.35,0,0,D,,,
SP1,2010-08-29,Santander,Barcelona,0,3,A,15.0,6.0,1.2,17.5,6.8,1.27,13.3,5.97,1.21,0,2,A,,,
SP1,2010-08-29,Espanol,Getafe,3,1,H,2.1,3.3,3.5,2.2,3.37,3.96,2.12,3.25,3.42,1,0,H,,,
SP1,2010-08-29,Mallorca,Real Madrid,0,0,D,8.0,4.75,1.36,10.13,5.06,1.42,7.92,4.48,1.39,0,0,D,,,
SP1,2010-08-29,La Coruna,Zaragoza,0,0,D,2.1,3.3,3.5,2.16,3.35,3.93,2.07,3.26,3.53,0,0,D,,,
SP1,2010-08-29,Osasuna,Almeria,0,0,D,2.0,3.4,3.75,2.11,3.4,4.04,2.04,3.28,3.62,0,0,D,,,
SP1,2010-08-30,Ath Madrid,Sp Gijon,4,0,H,1.53,4.0,6.0,1.57,4.3,7.16,1.54,3.83,6.17,2,0,H,,,
SP1,2010-09-11,Ath Bilbao,Ath Madrid,1,2,A,3.0,3.25,2.38,3.25,3.42,2.43,3.0,3.26,2.34,0,1,A,,,
SP1,2010-09-11,Barcelona,Hercules,0,2,A,1.06,11.0,34.0,1.07,15.0,44.0,1.06,10.96,28.31,0,1,A,,,
SP1,2010-09-11,Real Madrid,Osasuna,1,0,H,1.17,6.5,17.0,1.2,7.54,18.0,1.17,6.74,15.26,0,0,D,,,
SP1,2010-09-11,Valencia,Santander,1,0,H,1.44,4.33,7.0,1.5,4.49,8.04,1.46,4.11,7.11,1,0,H,,,
SP1,2010-09-12,Zaragoza,Malaga,3,5,A,1.91,3.4,4.0,2.04,3.53,4.2,1.96,3.33,3.86,1,5,A,,,
SP1,2010-09-12,Getafe,Levante,4,1,H,1.57,3.8,6.0,1.62,4.15,6.51,1.58,3.74,5.93,2,1,H,,,
SP1,2010-09-12,Sp Gijon,Mallorca,2,0,H,2.4,3.3,2.9,2.5,3.39,3.11,2.42,3.25,2.88,0,0,D,,,
SP1,2010-09-12,Sevilla,La Coruna,0,0,D,1.5,4.0,7.0,1.53,4.37,7.88,1.49,3.94,7.05,0,0,D,,,
SP1,2010-09-12,Villarreal,Espanol,4,0,H,1.8,3.5,4.5,1.83,3.73,5.0,1.77,3.47,4.62,2,0,H,,,
SP1,2010-09-13,Almeria,Sociedad,2,2,D,2.2,3.25,3.3,2.29,3.43,3.72,2.19,3.25,3.31,1,2,A,,,
SP1,2010-09-18,Espanol,Almeria,1,0,H,2.0,3.3,3.75,2.1,3.41,4.05,1.99,3.3,3.8,0,0,D,,,
SP1,2010-09-18,Mallorca,Osasuna,2,0,H,1.91,3.4,4.0,2.06,3.49,4.2,1.94,3.33,3.95,1,0,H,,,
SP1,2010-09-18,Sp Gijon,Ath Bilbao,2,2,D,2.4,3.25,2.9,2.51,3.31,3.11,2.39,3.23,2.92,2,1,H,,,
SP1,2010-09-18,Sociedad,Real Madrid,1,2,A,8.5,4.6,1.36,10.5,5.01,1.4,8.75,4.49,1.37,0,0,D,,,
SP1,2010-09-19,Ath Madrid,Barcelona,1,2,A,5.0,3.75,1.67,5.09,4.16,1.75,4.64,3.76,1.71,1,2,A,,,
SP1,2010-09-19,Hercules,Valencia,1,2,A,3.5,3.2,2.15,3.5,3.4,2.32,3.31,3.26,2.18,1,2,A,,,
SP1,2010-09-19,Levante,Villarreal,1,2,A,3.75,3.3,2.0,4.0,3.53,2.1,3.65,3.32,2.02,0,2,A,,,
SP1,2010-09-19,Malaga,Sevilla,1,2,A,3.25,3.25,2.2,3.3,3.46,2.39,3.15,3.28,2.24,1,2,A,,,
SP1,2010-09-19,Santander,Zaragoza,2,0,H,2.25,3.2,3.25,2.33,3.44,3.32,2.23,3.25,3.18,0,0,D,,,
SP1,2010-09-20,La Coruna,Getafe,2,2,D,2.25,3.2,3.25,2.36,3.34,3.38,2.28,3.22,3.11,0,1,A,,,
SP1,2010-09-21,Real Madrid,Espanol,3,0,H,1.17,7.0,15.0,1.19,8.02,21.0,1.16,6.92,16.59,1,0,H,,,
SP1,2010-09-21,Ath Bilbao,Mallorca,3,0,H,1.91,3.4,4.0,2.1,3.55,4.31,1.93,3.38,3.92,1,0,H,,,
SP1,2010-09-21,Osasuna,Sociedad,3,1,H,2.1,3.25,3.6,2.22,3.34,3.73,2.13,3.24,3.46,2,1,H,,,
SP1,2010-09-22,Almeria,Levante,0,1,A,1.75,3.5,4.75,1.91,3.85,5.1,1.76,3.53,4.57,0,1,A,,,
SP1,2010-09-22,Barcelona,Sp Gijon,1,0,H,1.14,7.0,21.0,1.18,9.1,22.19,1.14,7.4,17.71,0,0,D,,,
SP1,2010-09-22,Valencia,Ath Madrid,1,1,D,2.1,3.25,3.5,2.2,3.6,3.71,2.1,3.32,3.4,0,1,A,,,
SP1,2010-09-22,Zaragoza,Hercules,0,0,D,1.95,3.3,4.0,2.05,3.54,4.2,1.98,3.31,3.76,0,0,D,,,
SP1,2010-09-23,Getafe,Malaga,0,2,A,1.8,3.4,4.75,1.91,3.68,4.75,1.82,3.43,4.3,0,0,D,,,
SP1,2010-09-23,Sevilla,Santander,1,1,D,1.5,4.0,7.0,1.57,4.31,7.5,1.49,3.96,6.75,1,0,H,,,
SP1,2010-09-23,Villarreal,La Coruna,1,0,H,1.67,3.75,5.0,1.75,3.88,5.64,1.69,3.55,4.98,1,0,H,,,
SP1,2010-09-25,Ath Bilbao,Barcelona,1,3,A,6.0,3.8,1.57,6.25,4.12,1.65,5.72,3.82,1.58,0,0,D,,,
SP1,2010-09-25,Levante,Real Madrid,0,0,D,12.0,5.5,1.25,13.5,6.06,1.28,11.39,5.5,1.25,0,0,D,,,
SP1,2010-09-25,Sp Gijon,Valencia,0,2,A,3.25,3.3,2.2,3.5,3.4,2.35,3.23,3.27,2.21,0,2,A,,,
SP1,2010-09-26,Mallorca,Sociedad,2,0,H,2.05,3.3,3.6,2.13,3.45,4.0,2.02,3.29,3.68,1,0,H,,,
SP1,2010-09-26,Santander,Getafe,0,1,A,2.4,3.3,2.9,2.52,3.4,3.07,2.42,3.25,2.86,0,1,A,,,
SP1,2010-09-26,Hercules,Sevilla,2,0,H,3.5,3.3,2.1,3.6,3.5,2.35,3.24,3.3,2.18,2,0,H,,,
SP1,2010-09-26,Ath Madrid,Zaragoza,1,0,H,1.53,4.0,6.0,1.57,4.37,7.0,1.53,3.96,6.2,1,0,H,,,
SP1,2010-09-26,Espanol,Osasuna,1,0,H,2.2,3.3,3.25,2.34,3.3,3.6,2.16,3.22,3.37,1,0,H,,,
SP1,2010-09-26,La Coruna,Almeria,0,2,A,2.1,3.3,3.5,2.29,3.4,3.75,2.09,3.26,3.5,0,2,A,,,
SP1,2010-09-27,Malaga,Villarreal,2,3,A,3.0,3.25,2.38,3.0,3.42,2.54,2.81,3.27,2.43,2,3,A,,,
SP1,2010-10-02,Sociedad,Espanol,1,0,H,2.2,3.25,3.25,2.36,3.33,3.43,2.24,3.23,3.22,0,0,D,,,
SP1,2010-10-02,Zaragoza,Sp Gijon,2,2,D,2.05,3.3,3.6,2.1,3.53,4.03,2.03,3.32,3.64,0,1,A,,,
SP1,2010-10-02,Valencia,Ath Bilbao,2,1,H,1.73,3.4,5.25,1.79,3.9,5.5,1.69,3.59,5.03,1,0,H,,,
SP1,2010-10-03,Almeria,Malaga,1,1,D,2.2,3.25,3.25,2.38,3.41,3.37,2.25,3.28,3.14,0,0,D,,,
SP1,2010-10-03,Barcelona,Mallorca,1,1,D,1.17,7.0,15.0,1.2,8.46,20.05,1.17,6.82,14.69,1,1,D,,,
SP1,2010-10-03,Getafe,Hercules,3,0,H,2.05,3.3,3.6,2.17,3.49,3.8,2.06,3.32,3.55,2,0,H,,,
SP1,2010-10-03,Osasuna,Levante,1,1,D,1.73,3.5,5.0,1.86,3.67,5.05,1.77,3.45,4.63,0,0,D,,,
SP1,2010-10-03,Real Madrid,La Coruna,6,1,H,1.17,7.0,15.0,1.21,7.48,20.18,1.18,6.6,15.4,3,0,H,,,
SP1,2010-10-03,Sevilla,Ath Madrid,3,1,H,2.1,3.3,3.5,2.25,3.55,3.48,2.2,3.32,3.17,2,0,H,,,
SP1,2010-10-03,Villarreal,Santander,2,0,H,1.73,3.5,5.0,1.76,3.86,5.75,1.68,3.59,5.14,2,0,H,,,
SP1,2010-10-16,Ath Madrid,Getafe,2,0,H,1.8,3.5,4.5,1.86,3.81,4.8,1.78,3.55,4.47,1,0,H,,,
SP1,2010-10-16,Barcelona,Valencia,2,1,H,1.4,4.5,7.5,1.42,5.37,8.78,1.38,4.71,7.74,0,1,A,,,
SP1,2010-10-16,Malaga,Real Madrid,1,4,A,8.0,4.5,1.4,9.0,5.12,1.43,7.94,4.56,1.39,0,2,A,,,
SP1,2010-10-17,Sp Gijon,Sevilla,2,0,H,3.4,3.4,2.1,3.6,3.53,2.21,3.37,3.33,2.12,1,0,H,,,
SP1,2010-10-17,Santander,Almeria,1,0,H,2.1,3.3,3.5,2.25,3.33,3.66,2.16,3.26,3.37,1,0,H,,,
SP1,2010-10-17,Mallorca,Espanol,0,1,A,1.91,3.4,4.0,2.04,3.44,4.33,1.97,3.32,3.86,0,1,A,,,
SP1,2010-10-17,La Coruna,Osasuna,0,0,D,2.3,3.2,3.2,2.43,3.3,3.36,2.32,3.21,3.08,0,0,D,,,
SP1,2010-10-17,Ath Bilbao,Zaragoza,2,1,H,1.8,3.5,4.5,1.86,3.73,5.0,1.81,3.46,4.41,2,0,H,,,
SP1,2010-10-17,Levante,Sociedad,2,1,H,2.4,3.2,3.0,2.5,3.31,3.15,2.41,3.24,2.89,0,0,D,,,
SP1,2010-10-18,Hercules,Villarreal,2,2,D,2.8,3.25,2.5,2.93,3.33,2.65,2.77,3.23,2.48,2,1,H,,,
SP1,2010-10-23,Zaragoza,Barcelona,0,2,A,11.0,5.75,1.25,13.0,6.5,1.29,11.09,5.8,1.25,0,1,A,,,
SP1,2010-10-23,Real Madrid,Santander,6,1,H,1.14,7.0,21.0,1.15,9.35,26.0,1.13,7.79,18.49,3,0,H,,,
SP1,2010-10-23,Valencia,Mallorca,1,2,A,1.57,3.75,6.0,1.62,4.3,6.5,1.56,3.85,5.93,1,2,A,,,
SP1,2010-10-24,Almeria,Hercules,1,1,D,2.2,3.25,3.25,2.25,3.4,3.63,2.19,3.26,3.3,0,1,A,,,
SP1,2010-10-24,Espanol,Levante,2,1,H,1.75,3.4,5.0,1.83,3.6,5.6,1.76,3.42,4.86,1,0,H,,,
SP1,2010-10-24,Getafe,Sp Gijon,3,0,H,1.73,3.5,5.0,1.8,3.81,5.5,1.74,3.53,4.81,1,0,H,,,
SP1,2010-10-24,Osasuna,Malaga,3,0,H,2.1,3.25,3.5,2.21,3.4,3.75,2.13,3.25,3.46,2,0,H,,,
SP1,2010-10-24,Villarreal,Ath Madrid,2,0,H,2.3,3.25,3.1,2.42,3.46,3.28,2.26,3.29,3.11,1,0,H,,,
SP1,2010-10-24,Sevilla,Ath Bilbao,4,3,H,1.7,3.6,5.0,1.79,3.79,5.25,1.73,3.56,4.78,2,0,H,,,
SP1,2010-10-25,Sociedad,La Coruna,3,0,H,2.1,3.25,3.5,2.13,3.38,3.95,2.08,3.24,3.55,1,0,H,,,
SP1,2010-10-30,Barcelona,Sevilla,5,0,H,1.29,5.0,11.0,1.3,6.08,13.7,1.28,5.48,10.44,2,0,H,,,
SP1,2010-10-30,Hercules,Real Madrid,1,3,A,10.0,5.0,1.3,11.0,5.5,1.36,9.55,5.01,1.32,1,0,H,,,
SP1,2010-10-30,Valencia,Zaragoza,1,1,D,1.4,4.33,7.5,1.46,4.82,8.23,1.42,4.36,7.5,1,1,D,,,
SP1,2010-10-31,Santander,Osasuna,4,1,H,2.5,3.3,2.75,2.57,3.3,3.06,2.42,3.23,2.9,2,0,H,,,
SP1,2010-10-31,Sp Gijon,Villarreal,1,1,D,3.5,3.3,2.1,3.64,3.5,2.2,3.43,3.31,2.11,0,0,D,,,
SP1,2010-10-31,Malaga,Sociedad,1,2,A,2.1,3.25,3.6,2.17,3.5,3.8,2.07,3.3,3.55,0,1,A,,,
SP1,2010-10-31,Ath Madrid,Almeria,1,1,D,1.5,4.33,6.0,1.57,4.39,7.02,1.53,3.97,6.3,1,1,D,,,
SP1,2010-10-31,Ath Bilbao,Getafe,3,0,H,2.0,3.5,3.6,2.05,3.6,4.08,1.99,3.39,3.73,2,0,H,,,
SP1,2010-10-31,La Coruna,Espanol,3,0,H,2.63,3.3,2.63,2.82,3.31,2.8,2.63,3.22,2.66,1,0,H,,,
SP1,2010-11-01,Mallorca,Levante,2,1,H,1.62,3.8,5.5,1.7,4.03,6.0,1.65,3.65,5.25,0,1,A,,,
SP1,2010-11-06,Sociedad,Santander,1,0,H,2.1,3.25,3.6,2.23,3.35,3.8,2.13,3.26,3.46,1,0,H,,,
SP1,2010-11-06,Espanol,Malaga,1,0,H,1.91,3.4,4.0,2.0,3.6,4.58,1.91,3.38,4.08,1,0,H,,,
SP1,2010-11-07,Almeria,Sp Gijon,1,1,D,2.1,3.3,3.5,2.12,3.41,4.02,2.08,3.26,3.55,1,0,H,,,
SP1,2010-11-07,Getafe,Barcelona,1,3,A,8.5,5.0,1.33,10.26,5.46,1.36,8.7,4.94,1.34,0,2,A,,,
SP1,2010-11-07,Levante,La Coruna,1,2,A,2.3,3.2,3.2,2.5,3.3,3.36,2.3,3.22,3.1,0,1,A,,,
SP1,2010-11-07,Osasuna,Hercules,3,0,H,2.0,3.3,3.8,2.13,3.41,4.0,2.05,3.28,3.62,1,0,H,,,
SP1,2010-11-07,Real Madrid,Ath Madrid,2,0,H,1.29,5.5,9.5,1.33,6.1,11.03,1.29,5.38,9.62,2,0,H,,,
SP1,2010-11-07,Zaragoza,Mallorca,3,2,H,2.4,3.2,3.0,2.47,3.35,3.25,2.38,3.24,2.96,0,1,A,,,
SP1,2010-11-07,Villarreal,Ath Bilbao,4,1,H,1.8,3.6,4.33,1.85,3.94,4.8,1.79,3.57,4.38,2,1,H,,,
SP1,2010-11-08,Sevilla,Valencia,2,0,H,2.2,3.4,3.2,2.28,3.58,3.45,2.18,3.32,3.23,0,0,D,,,
SP1,2010-11-13,Ath Bilbao,Almeria,1,0,H,1.67,3.75,5.0,1.76,3.9,6.0,1.67,3.63,5.18,1,0,H,,,
SP1,2010-11-13,Ath Madrid,Osasuna,3,0,H,1.62,3.75,5.5,1.69,3.91,6.0,1.61,3.75,5.62,2,0,H,,,
SP1,2010-11-13,Barcelona,Villarreal,3,1,H,1.2,6.25,13.0,1.26,6.76,13.95,1.23,5.95,11.82,1,1,D,,,
SP1,2010-11-14,Valencia,Getafe,2,0,H,1.62,3.75,5.5,1.68,4.06,6.0,1.61,3.81,5.45,1,0,H,,,
SP1,2010-11-14,Zaragoza,Sevilla,1,2,A,3.0,3.25,2.38,3.2,3.4,2.55,2.98,3.28,2.35,0,1,A,,,
SP1,2010-11-14,Sp Gijon,Real Madrid,0,1,A,12.0,5.5,1.25,13.0,6.0,1.3,10.82,5.33,1.27,0,0,D,,,
SP1,2010-11-14,Mallorca,La Coruna,0,0,D,1.8,3.5,4.5,1.83,3.67,5.31,1.78,3.46,4.68,0,0,D,,,
SP1,2010-11-14,Malaga,Levante,1,0,H,1.95,3.5,3.8,2.1,3.69,4.33,1.91,3.46,3.93,0,0,D,,,
SP1,2010-11-14,Hercules,Sociedad,2,1,H,2.1,3.3,3.5,2.2,3.43,3.86,2.12,3.27,3.48,0,1,A,,,
SP1,2010-11-14,Santander,Espanol,0,0,D,2.38,3.0,3.2,2.43,3.3,3.4,2.31,3.19,3.12,0,0,D,,,
SP1,2010-11-20,Almeria,Barcelona,0,8,A,12.0,5.5,1.25,13.0,6.0,1.3,11.34,5.55,1.26,0,5,A,,,
SP1,2010-11-20,Real Madrid,Ath Bilbao,5,1,H,1.17,7.0,15.0,1.21,7.79,17.0,1.18,6.7,14.79,2,1,H,,,
SP1,2010-11-20,Villarreal,Valencia,1,1,D,2.0,3.5,3.6,2.1,3.74,4.02,2.03,3.44,3.57,0,1,A,,,
SP1,2010-11-21,Sociedad,Ath Madrid,2,4,A,2.75,3.3,2.5,2.9,3.53,2.6,2.76,3.29,2.49,1,0,H,,,
SP1,2010-11-21,Sevilla,Mallorca,1,2,A,1.67,3.75,5.0,1.67,4.2,6.0,1.62,3.84,5.29,0,1,A,,,
SP1,2010-11-21,Levante,Santander,3,1,H,2.38,3.25,3.0,2.46,3.35,3.25,2.34,3.24,3.0,3,0,H,,,
SP1,2010-11-21,La Coruna,Malaga,3,0,H,2.25,3.25,3.2,2.38,3.33,3.65,2.2,3.22,3.3,2,0,H,,,
SP1,2010-11-21,Espanol,Hercules,3,0,H,1.91,3.3,4.2,2.0,3.52,4.5,1.92,3.35,4.03,1,0,H,,,
SP1,2010-11-21,Osasuna,Sp Gijon,1,0,H,1.83,3.4,4.5,1.92,3.57,4.68,1.86,3.38,4.23,0,0,D,,,
SP1,2010-11-22,Getafe,Zaragoza,1,1,D,1.8,3.5,4.5,1.91,3.68,4.84,1.8,3.45,4.46,0,1,A,,,
SP1,2010-11-27,Ath Madrid,Espanol,2,3,A,1.62,3.6,6.0,1.7,4.07,5.99,1.64,3.73,5.31,1,1,D,,,
SP1,2010-11-27,Sevilla,Getafe,1,3,A,1.67,3.75,5.0,1.7,4.05,5.73,1.64,3.76,5.29,1,0,H,,,
SP1,2010-11-27,Zaragoza,Villarreal,0,3,A,3.25,3.25,2.2,3.4,3.49,2.35,3.19,3.29,2.22,0,2,A,,,
SP1,2010-11-28,Valencia,Almeria,2,1,H,1.33,5.0,9.0,1.47,5.2,10.0,1.38,4.54,8.11,1,0,H,,,
SP1,2010-11-28,Sp Gijon,Sociedad,1,3,A,2.1,3.25,3.6,2.2,3.4,3.79,2.1,3.27,3.48,1,2,A,,,
SP1,2010-11-28,Mallorca,Malaga,2,0,H,1.73,3.75,4.5,1.8,3.84,5.1,1.74,3.58,4.68,0,0,D,,,
SP1,2010-11-28,Hercules,Levante,3,1,H,1.83,3.5,4.33,1.93,3.66,4.55,1.88,3.44,4.07,1,1,D,,,
SP1,2010-11-28,Ath Bilbao,Osasuna,1,0,H,1.73,3.6,4.75,1.8,3.8,5.5,1.73,3.57,4.83,0,0,D,,,
SP1,2010-11-28,Santander,La Coruna,1,0,H,2.2,3.2,3.4,2.3,3.39,3.67,2.18,3.24,3.31,0,0,D,,,
SP1,2010-11-29,Barcelona,Real Madrid,5,0,H,2.1,3.3,3.5,2.2,3.8,3.55,2.09,3.49,3.36,2,0,H,,,
SP1,2010-12-04,Levante,Ath Madrid,2,0,H,4.2,3.5,1.83,4.38,3.75,1.94,4.0,3.52,1.88,1,0,H,,,
SP1,2010-12-04,Osasuna,Barcelona,0,3,A,15.0,6.0,1.2,16.51,7.0,1.25,13.32,6.11,1.21,0,1,A,,,
SP1,2010-12-04,Real Madrid,Valencia,2,0,H,1.4,4.5,7.5,1.41,5.29,9.0,1.37,4.76,8.04,0,0,D,,,
SP1,2010-12-05,Villarreal,Sevilla,1,0,H,1.83,3.5,4.2,1.91,3.8,4.62,1.83,3.55,4.2,1,0,H,,,
SP1,2010-12-05,Sociedad,Ath Bilbao,2,0,H,2.3,3.3,3.1,2.4,3.47,3.22,2.34,3.28,3.0,1,0,H,,,
SP1,2010-12-05,Getafe,Mallorca,3,0,H,2.0,3.4,3.75,2.1,3.52,3.91,2.05,3.35,3.56,2,0,H,,,
SP1,2010-12-05,Espanol,Sp Gijon,1,0,H,1.62,3.75,5.5,1.73,3.87,6.12,1.65,3.64,5.41,0,0,D,,,
SP1,2010-12-05,Almeria,Zaragoza,1,1,D,2.2,3.2,3.4,2.26,3.4,3.58,2.21,3.25,3.26,0,0,D,,,
SP1,2010-12-05,Malaga,Santander,4,1,H,2.0,3.4,3.75,2.12,3.5,3.97,2.03,3.31,3.64,2,1,H,,,
SP1,2010-12-06,La Coruna,Hercules,1,0,H,2.2,3.2,3.4,2.25,3.38,3.7,2.14,3.22,3.43,0,0,D,,,
SP1,2010-12-11,Ath Madrid,La Coruna,2,0,H,1.44,4.2,7.0,1.53,4.49,7.7,1.5,3.99,6.78,2,0,H,,,
SP1,2010-12-11,Getafe,Villarreal,1,0,H,2.5,3.3,2.75,2.6,3.5,2.89,2.5,3.29,2.73,0,0,D,,,
SP1,2010-12-11,Sevilla,Almeria,1,3,A,1.4,4.5,7.5,1.47,4.64,8.25,1.43,4.29,7.48,0,0,D,,,
SP1,2010-12-12,Zaragoza,Real Madrid,1,3,A,12.0,5.5,1.25,14.0,6.5,1.29,11.35,5.61,1.25,0,2,A,,,
SP1,2010-12-12,Sp Gijon,Levante,1,1,D,1.91,3.5,3.9,2.01,3.57,4.26,1.94,3.37,3.87,0,0,D,,,
SP1,2010-12-12,Hercules,Malaga,4,1,H,2.1,3.4,3.4,2.15,3.6,3.69,2.1,3.35,3.39,0,1,A,,,
SP1,2010-12-12,Barcelona,Sociedad,5,0,H,1.1,8.5,26.0,1.11,11.21,35.0,1.09,9.45,22.97,2,0,H,,,
SP1,2010-12-12,Ath Bilbao,Espanol,2,1,H,1.95,3.4,3.9,2.0,3.63,4.33,1.94,3.39,3.87,0,1,A,,,
SP1,2010-12-12,Mallorca,Santander,0,1,A,1.73,3.5,5.0,1.75,3.83,6.0,1.71,3.56,4.96,0,0,D,,,
SP1,2010-12-13,Valencia,Osasuna,3,3,D,1.4,4.5,7.5,1.43,4.82,9.0,1.4,4.36,7.89,3,1,H,,,
SP1,2010-12-18,Espanol,Barcelona,1,5,A,12.0,5.5,1.25,12.93,6.54,1.29,10.86,5.73,1.26,0,2,A,,,
SP1,2010-12-18,La Coruna,Sp Gijon,1,1,D,2.05,3.25,3.75,2.1,3.53,4.0,2.01,3.31,3.76,1,0,H,,,
