Date,HomeTeam,AwayTeam,FTHG,FTAG,Result,EloHomeBefore,EloAwayBefore,EloDiff,HomeWin,Draw,AwayWin,Weight
2020-07-05,Ath Bilbao,Real Madrid,0,1,A,1617.7270215981318,1785.268960621784,-77.54193902365205,0,0,1,2.0857900142302778e-05
2020-07-05,Osasuna,Getafe,0,0,D,1536.1631678643553,1626.9932634899615,-0.8300956256061909,0,1,0,2.0857900142302778e-05
2020-07-06,Sevilla,Eibar,1,0,H,1667.1328302443542,1526.1072496332993,231.02558061105492,1,0,0,2.097409984339568e-05
2020-07-06,Levante,Sociedad,1,1,D,1557.2815748132139,1572.8589904368853,74.42258437632859,0,1,0,2.097409984339568e-05
2020-07-07,Valencia,Valladolid,2,1,H,1600.0384328000232,1528.5833522626826,161.45508053734056,1,0,0,2.1090946894914135e-05
2020-07-07,Celta,Ath Madrid,1,1,D,1535.9226486326156,1742.352710587198,-116.43006195458247,0,1,0,2.1090946894914135e-05
2020-07-08,Betis,Osasuna,3,0,H,1532.6720139602564,1536.1990059051627,86.47300805509371,1,0,0,2.1208444903257973e-05
2020-07-08,Getafe,Villarreal,1,3,A,1626.957425449154,1626.8382236254788,90.11920182367521,0,0,1,2.1208444903257973e-05
2020-07-08,Barcelona,Espanol,1,0,H,1823.003957152266,1456.3372356294985,456.6667215227674,1,0,0,2.1208444903257973e-05
2020-07-09,Eibar,Leganes,0,0,D,1519.8319235205279,1477.9528173590686,131.87910616145928,0,1,0,2.132659749491819e-05
2020-07-09,Mallorca,Levante,2,0,H,1451.1020444854387,1554.1167510227951,-13.01470653735646,1,0,0,2.132659749491819e-05
2020-07-09,Ath Bilbao,Sevilla,1,2,A,1606.0202768904119,1673.4081563571256,22.612120533286316,0,0,1,2.132659749491819e-05
2020-07-10,Real Madrid,Alaves,2,0,H,1796.9757053295039,1477.148496248849,409.82720908065494,1,0,0,2.1445408316589164e-05
2020-07-10,Sociedad,Granada,2,3,A,1576.023814227304,1508.878098542651,157.14571568465294,0,0,1,2.1445408316589164e-05
2020-07-11,Valladolid,Barcelona,0,1,A,1520.092020359384,1825.0232178021643,-214.93119744278033,0,0,1,2.1564881035280957e-05
2020-07-11,Ath Madrid,Betis,1,0,H,1737.5061023284916,1544.0138990563698,283.49220327212174,1,0,0,2.1564881035280957e-05
2020-07-11,Osasuna,Celta,2,1,H,1524.8571208090493,1540.7692568913221,74.08786391772719,1,0,0,2.1564881035280957e-05
2020-07-12,Leganes,Valencia,1,0,H,1483.3879388420116,1608.529764703322,-35.14182586131028,1,0,0,2.168501933843261e-05
2020-07-12,Sevilla,Mallorca,2,0,H,1689.3830240207735,1466.663671866481,312.71935215429244,1,0,0,2.168501933843261e-05
2020-07-12,Espanol,Eibar,0,2,A,1454.3179749796002,1514.3968020375848,29.921172942015346,0,0,1,2.168501933843261e-05
2020-07-12,Levante,Ath Bilbao,1,2,A,1538.5551236417527,1590.045409226764,38.50971441498882,0,0,1,2.168501933843261e-05
2020-07-13,Villarreal,Sociedad,1,2,A,1645.6440115622745,1554.6669763837813,180.97703517849322,0,0,1,2.1805826934026048e-05
2020-07-13,Granada,Real Madrid,1,2,A,1530.2349363861738,1799.5659300957843,-179.33099370961054,0,0,1,2.1805826934026048e-05
2020-07-13,Alaves,Getafe,0,0,D,1474.5582714825684,1608.1516375123583,-43.59336602978988,0,1,0,2.1805826934026048e-05
